Date,First_30min_Volume_Estimated,Total_Day_Volume,Estimated_Percentage,Volume_vs_Average,Volume_Category,First_30min_Trades_Estimated,Trades_vs_30min_Average,Trades_vs_Daily_Average,Total_Day_Trades_Estimated,Trade_Percentage_First_30min,Daily_Return,Opening_Gap_Percent,Volume_ZScore
2024-07-12,6079123.8,13509164.0,45.0,14.115347639013784,Extreme,528165,17.2570245131651,4.679746145831396,1173700,45.0,5.124376766645731,1.4348659364868033,3.8931801225062035
2024-05-31,4930560.0,10956800.0,45.0,11.448453879984449,Extreme,396668,12.960550963407599,3.5146318748395826,881485,45.0,-1.8462579900568197,0.1043844594600131,4.071566724350698
2023-12-15,3839053.5,8531230.0,45.0,8.914043625377824,Extreme,286362,9.356462570672015,2.537278058585045,636360,45.0,5.299044138204626,0.015004125211840202,3.7951945122194752
2024-03-19,3800767.2716149855,8931209.0,42.55602205272528,8.825145382601264,Extreme,309036,10.097302599472684,2.7381784668108473,686748,45.0,-1.8253613371644557,2.4382874813266766,3.7449857120170433
2025-01-10,3552435.0,7894300.0,45.0,8.248533282049616,Extreme,294218,9.613145964261944,2.606885256566076,653819,45.0,1.5630929129464268,3.989996887163051,3.6145142570486346
2023-03-17,3032984.7,6739966.0,45.0,7.042401969887492,Extreme,184455,6.026799308125053,1.6343426302941886,409902,45.0,0.9141421624543792,1.0831898919010283,3.597180001691219
2025-02-28,2816523.7451893706,7085018.0,39.75323344541073,6.539793086116299,Extreme,215845,7.052421981850598,1.9124701690702293,479657,45.0,-2.836858325975522,0.7640052880699967,3.16684707676518
2022-07-11,2699884.0558148804,6974600.0,38.710235078927546,6.268962976680543,Extreme,177921,5.813310345075588,1.5764488635416352,395382,45.0,-2.8803972468073233,1.8159834077314456,3.182395165943321
2024-01-12,2669875.0459225303,6813450.0,39.18536198141221,6.199283920805233,Extreme,215254,7.033111914944838,1.9072336805255767,478343,45.0,0.9043671732880759,3.010271851956724,2.290577596940205
2025-04-07,2639108.178802929,6623955.0,39.84187964445605,6.127845167549951,Extreme,171214,5.594168858211069,1.5170222498885322,380477,45.0,5.614517704133071,6.043518684272823,2.569452945113539
2023-07-14,2576420.533565337,6306101.0,40.85599855703765,5.98228835141803,Extreme,180672,5.903195275799352,1.600823787376388,401495,45.0,4.447248212295691,0.7319075129971324,3.093706813684977
2023-05-31,2570471.935318036,5815424.0,44.20093763271665,5.96847607600007,Extreme,167051,5.45814887762109,1.4801364600215472,371225,45.0,-0.5893019038984539,0.21710859023303594,4.0667345531481915
2022-02-21,2419726.0336294444,7465922.0,32.41027743967114,5.618453461311574,Extreme,213106,6.9629291337036,1.888201569875977,473571,45.0,-2.377955319061676,0.4243582383733272,2.735679765473276
2025-04-11,2207068.0187390205,7108961.0,31.046281147681363,5.124674767677978,Extreme,174346,5.6965024107471764,1.5447729810591777,401122,43.46479360675391,-1.7646805175925133,1.3229216472820624,2.145373399799272
2024-09-20,2048170.2523948345,5447908.0,37.59553671601713,4.755724029907023,Extreme,192186,6.279398508206996,1.7028422799366725,427080,45.0,-0.7412726892885962,0.48299380054460217,3.18260172395787
2024-10-11,1867402.7784217473,5759183.0,32.42478626606842,4.335993190249423,Extreme,183890,6.008338753468954,1.629336511803954,408646,45.0,0.14965472634564814,1.9964997312717232,2.415152726859573
2023-04-17,1789546.3740451455,5505048.0,32.50737094472465,4.155215458152674,Extreme,131767,4.305295407734753,1.1675065754030758,292816,45.0,0.1722951461501844,1.7169111675326518,2.1402539027198304
2022-09-16,1759426.8499026392,5322221.0,33.05813212007993,4.08527979505709,Extreme,124687,4.073966687442403,1.1047750375077472,277084,45.0,-2.1879079593018482,0.9132517778827959,2.5966540841163526
2022-09-14,1737345.730708247,5090269.0,34.13072532528727,4.034008808654848,Extreme,120979,3.9528131712214947,1.071920723593075,268844,45.0,-0.46571284389952083,2.9216356870640774,3.198989143781128
2022-06-17,1673815.5653034183,5240434.0,31.940399694060037,3.886495713058209,Extreme,119366,3.900110738194438,1.0576289198324584,266940,44.71655957168405,-0.10026189056436766,1.5913467117419393,2.527410232846649
2022-02-14,1660924.5443021832,5951745.0,27.90651387621921,3.856563563485229,Extreme,135444,4.425436043965681,1.2000862173297882,346679,39.06911942670689,0.26181525241675463,0.7862133566007962,2.072969248174921
2024-03-22,1648957.1156978589,5852485.0,28.175332627044046,3.828775938055539,Extreme,146031,4.771350897318097,1.2938911314114048,370212,39.44546567786166,0.3566821232678936,1.911673060419839,1.611272034548834
2025-04-04,1627885.5927890402,5317367.0,30.614505126109222,3.7798491714808202,Extreme,130189,4.253736548889933,1.1535248851772526,303752,42.86030717655291,-1.8795037612873113,1.1915368373641122,2.297738281318767
2022-05-19,1531506.668881866,4642963.0,32.985545413174,3.5560633002301274,Extreme,120755,3.945494296455183,1.0699359969703979,268345,45.0,-3.975568113868865,1.501970197050697,3.602506682599307
