Date,First_30min_Volume_Estimated,Total_Day_Volume,Estimated_Percentage,Volume_vs_Average,Volume_Category,First_30min_Trades_Estimated,Trades_vs_30min_Average,Trades_vs_Daily_Average,Total_Day_Trades_Estimated,Trade_Percentage_First_30min,Daily_Return,Opening_Gap_Percent,Volume_ZScore
2024-07-12,6079123.8,13509164.0,45.0,14.117163090443032,Extreme,528165,17.35491297231103,4.705582817688028,1173700,45.0,5.124376766645731,1.4348723496763074,3.8931801225062035
2024-05-31,4930560.0,10956800.0,45.0,11.449926327740652,Extreme,396668,13.034068177370086,3.5340360022467876,881485,45.0,-1.8462579900568197,0.1043844594600131,4.071566724350698
2023-12-15,3839053.5,8531230.0,45.0,8.915190108883149,Extreme,285700,9.387783431672416,2.545388299136576,634889,45.0,5.299044138204629,0.015003039038252015,3.7951945122194752
2024-03-19,3800769.170426595,8931209.0,42.556043313134815,8.826284841910953,Extreme,309036,10.154578370984657,2.75329582923336,686748,45.0,-1.8253613371644601,2.438305352341667,3.7449857120170433
2025-01-10,3552435.0,7894300.0,45.0,8.249594170659593,Extreme,294218,9.667675413719968,2.6212777549715263,653819,45.0,1.5630929129464268,3.989990530185341,3.6145142570486346
2023-03-17,3032984.7,6739966.0,45.0,7.043307731406693,Extreme,184029,6.04698773940232,1.639570400076321,408955,45.0,0.9141421624543763,1.0832052654098456,3.597180001691219
2025-02-28,2816523.7451893706,7085018.0,39.75323344541073,6.540634204380532,Extreme,215845,7.09242602313382,1.9230288324365916,479657,45.0,-2.836858325975522,0.7640052880699967,3.16684707676518
2022-07-11,2699882.8497358104,6974600.0,38.71021778647966,6.269766461214449,Extreme,174399,5.730556677284696,1.5537737976238002,387555,45.0,-2.88039724680732,1.8159677059996744,3.182395165943321
2024-01-12,2669875.0442912187,6813450.0,39.185361957469695,6.200081240550316,Extreme,214756,7.056642697417715,1.9133265998228017,477237,45.0,0.9043671732880663,3.010271829750544,2.290577596940205
2025-04-07,2639108.178802929,6623955.0,39.84187964445605,6.128633302957745,Extreme,171214,5.625901128702698,1.5253976627524315,380477,45.0,5.614517704133071,6.043518684272823,2.569452945113539
2023-07-14,2576421.9482991667,6306101.0,40.85602099140446,5.9830610513206395,Extreme,180255,5.922978307581769,1.6059466848472645,400567,45.0,4.4472482122956976,0.7319262185027032,3.093706813684977
2023-05-31,2570473.895999835,5815424.0,44.200971347916074,5.969248267251305,Extreme,166665,5.476426061041943,1.4848692365264173,370367,45.0,-0.5893019038984595,0.21713418154173683,4.0667345531481915
2022-02-21,2419726.379143547,7465922.0,32.4102820675537,5.619176883454264,Extreme,208888,6.863826760501181,1.861046800945191,464196,45.0,-2.3779553190616807,0.42436305865394097,2.735679765473276
2025-04-11,2207068.0187390205,7108961.0,31.046281147681363,5.125333879898897,Extreme,174346,5.728815156382075,1.5533016044846533,401122,43.46479360675391,-1.7646805175925133,1.3229216472820624,2.145373399799272
2024-09-20,2048170.2523948345,5447908.0,37.59553671601713,4.756335689372167,Extreme,192186,6.315017663981081,1.712243596982366,427080,45.0,-0.7412726892885962,0.48299380054460217,3.18260172395787
2024-10-11,1867402.469428692,5759183.0,32.42478090084465,4.336550148299481,Extreme,183890,6.042420354393561,1.6383320067491247,408646,45.0,0.1496547263456472,1.9964938853593235,2.415152726859573
2023-04-17,1789546.681229839,5505048.0,32.507376524779424,4.15575059630842,Extreme,131462,4.319694733967515,1.171234989783313,292139,45.0,0.17229514615017982,1.7169171840845359,2.1402539027198304
2022-09-16,1759425.9152820576,5322221.0,33.058114559355154,4.085803054642318,Extreme,122219,4.015980060327514,1.088886288177015,271599,45.0,-2.1879079593018482,0.9132335858429813,2.5966540841163526
2022-09-14,1737346.4091495867,5090269.0,34.13073865348937,4.03452921991164,Extreme,118584,3.8965380135157215,1.0565009662751548,263521,45.0,-0.46571284389951734,2.921649844792913,3.198989143781128
2022-06-17,1673815.2688250681,5240434.0,31.940394036544838,3.8869948878615093,Extreme,117003,3.8445881164017064,1.042415355841361,261655,44.71655165116277,-0.10026189056435239,1.5913405256293707,2.527410232846649
2022-02-14,1660923.995194937,5951745.0,27.90650465023177,3.8570583018883653,Extreme,132763,4.362444143294102,1.18282599495369,339816,39.069106510324474,0.261815252416749,0.7862020765637882,2.072969248174921
2024-03-22,1648957.4089087474,5852485.0,28.1753376370678,3.8292690586033378,Extreme,146031,4.798415828878384,1.3010346472216077,370212,39.44547269189491,0.3566821232679015,1.9116793275444028,1.611272034548834
2025-04-04,1627885.5927890402,5317367.0,30.614505126109222,3.780335318386741,Extreme,130189,4.277865373419671,1.1598934451392777,303752,42.86030717655291,-1.8795037612873113,1.1915368373641122,2.297738281318767
2022-05-19,1531506.617539919,4642963.0,32.98554430737266,3.5565205455930666,Extreme,118364,3.8893090588255994,1.05454091928247,263033,45.0,-3.9755681138688588,1.501969029238411,3.602506682599307
2023-09-12,1498372.4376887556,4476016.0,33.47558269873824,3.4795751442135217,Extreme,125227,4.114819586272459,1.1156854761497235,278284,45.0,2.542956724745853,0.3260967953955098,3.1946000463743656
2023-07-13,1440087.809326383,4585146.0,31.407676207614394,3.344224453665408,Extreme,114578,3.7649053203855862,1.020810292399267,260579,43.97074669066015,1.7219868705275583,0.7392786751916768,2.8721192697439006
2023-02-28,1420478.5755519795,4116217.0,34.50932192233741,3.298687175534655,Extreme,108393,3.561673116938285,0.9657062439912876,240875,45.0,-0.47017882961543744,0.10055169754785774,3.7063334825861793
