Date,First_30min_Volume_Estimated,Total_Day_Volume,Estimated_Percentage,Volume_vs_Average,Volume_Category,First_30min_Trades_Estimated,Trades_vs_30min_Average,Trades_vs_Daily_Average,Total_Day_Trades_Estimated,Trade_Percentage_First_30min,Daily_Return,Opening_Gap_Percent,Volume_ZScore
2024-01-23,102795464.25,228434365.0,45.0,30.639163238141055,Extreme,2240873,42.27814656289589,13.496005954313247,4979719,45.0,-25.13202368533227,11.361698008161666,3.3473014603787488
2025-06-23,73743325.65,163874057.0,45.0,21.97989773963927,Extreme,1024672,19.33230173905244,6.171246390678125,2277049,45.0,12.950946160082546,0.43582944324798023,4.001060601117351
2024-01-09,70783721.55,157297159.0,45.0,21.097759662810926,Extreme,1649230,31.115724833993177,9.93274402432982,3664957,45.0,0.05855705643506312,7.90939586921837,3.938799713500755
2023-08-10,51299314.2,113998476.0,45.0,15.290247222931214,Extreme,1253248,23.644803888331086,7.547880879563977,2784997,45.0,15.221384446944722,1.1558378202164674,3.806621219050664
2024-01-24,49745053.055900976,146400155.0,33.97882540213224,14.826984945201389,Extreme,774669,14.615540246918052,4.665564463770097,1721487,45.0,5.284813989566857,1.3145210636269933,1.6336080030888238
2024-08-27,45894994.65,101988877.0,45.0,13.679438515644044,Extreme,602169,11.361013871661829,3.6266564011003095,1338155,45.0,11.560654760070776,5.613636275784454e-06,3.6834333085898834
2024-02-21,40761463.99074744,106831188.0,38.1550226613107,12.149341005949289,Extreme,582989,10.99914827237247,3.5111418698423007,1295533,45.0,-5.074964303760085,9.992213244004402,1.8279417756796095
2022-03-24,39047792.4,86772872.0,45.0,11.638564932427391,Extreme,922608,17.40667866679649,5.556550086282014,2050242,45.0,6.124622891467186,9.998040713753126,4.017594018182211
2023-02-23,34460211.15,76578247.0,45.0,10.271192823039938,Extreme,755084,14.246033585704179,4.547610757060602,1677966,45.0,0.9913558609537224,4.676531442554089,4.216149319615488
2024-06-27,27734606.53216933,71011255.0,39.056634799890986,8.266562567567268,Extreme,373375,7.044398755717639,2.2487089733294607,829723,45.0,-4.29746410514735,1.5358955755775168,3.1730625326072084
2024-03-27,26489981.93108178,72718298.0,36.428220488716306,7.895590398696231,Extreme,333145,6.2853866045491875,2.006417545148559,740323,45.0,0.461982352076772,1.0412881455028131,2.661352307793385
2024-09-25,26163951.86419778,59580920.0,43.91330624669404,7.798414044538164,Extreme,269394,5.0826079903523205,1.6224672384629844,598655,45.0,5.4445785307943915,0.2670655508264884,3.54956101657344
2022-04-07,25173276.471706368,67870863.0,37.0899607858329,7.503133846253016,Extreme,630408,11.893793989405946,3.7967301679509307,1400908,45.0,-0.08771929824560734,2.0281903891933926,2.286853122271602
2024-11-19,24363890.55,54141979.0,45.0,7.261888694448425,Extreme,255079,4.81252946825497,1.5362529258999813,566843,45.0,2.3298546267451723,3.769496028252296,3.9801036879711087
2022-10-06,23187197.45846114,53214447.0,43.57312490433498,6.911164156397107,Extreme,490307,9.250533701291324,2.952950118744554,1089572,45.0,2.3583225619858306,1.97612563833648,3.88526120905285
2024-01-19,22542363.4147015,73034564.0,30.86533578087972,6.718965252754701,Extreme,555685,10.484008630923217,3.346699285824122,1285967,43.21147009323161,-6.560636182902586,1.3295769280947356,1.2097369883429498
2025-06-17,22202122.31907115,49586411.0,44.77461036466453,6.6175531666728755,Extreme,245773,4.636954845367235,1.4802060944147346,546163,45.0,-2.6188696539817644,2.1680734935666575,2.971285531633726
2023-06-21,22088451.977771163,54185787.0,40.76429115585451,6.583672643170832,Extreme,332878,6.280349163724877,2.0048094961472094,739729,45.0,2.297874071919317,1.702245492087882,2.402885855952058
2023-12-12,21631489.67446727,61712266.0,35.05217208272221,6.447470693923787,Extreme,582654,10.992827887817624,3.5091242802713185,1294788,45.0,1.101781729182166,3.696503585347613e-06,2.49854681608258
2023-06-13,21171272.85,47047273.0,45.0,6.31029870377159,Extreme,325011,6.131923894193627,1.957429265834031,722248,45.0,4.837836188239008,5.05517514976911,2.8405873364510734
2024-02-20,21119568.97762191,85302095.0,24.758558365561722,6.2948878741460375,Extreme,359065,6.7744145677181224,2.1625247740436366,1035905,34.66198171178641,3.575265535744279,4.201680922955167,0.6892690738246775
2023-05-26,21077809.650000002,46839577.0,45.0,6.28244111041908,Extreme,322430,6.083228632891967,1.9418847921543168,716513,45.0,8.686983614294684,1.845125449240646,3.3802955064874203
2024-11-29,20998643.85,46663653.0,45.0,6.258844992761797,Extreme,217463,4.10283518343388,1.309704719028174,483253,45.0,0.12403384659641474,4.784338689340551,2.586915679129413
2024-07-31,19212380.28124591,56167370.0,34.20558997376219,5.72643219158705,Extreme,264681,4.993688669734451,1.594082463394215,588180,45.0,2.1786928996187664,0.23421723567732905,2.5535034272151687
2024-02-29,19176481.822415587,75726897.0,25.323210882938444,5.715732315399663,Extreme,284605,5.369591182781436,1.7140778502964344,802779,35.45249523611382,-1.0755992826211995,0.4320978260886203,1.462657228954774
2023-07-07,18991201.88632165,49451353.0,38.40380643644199,5.660507872880212,Extreme,325387,6.139017818350707,1.9596937842778794,723084,45.0,7.875451236153505,0.924216926623826,2.0447344224937916
2023-07-17,18840840.775316153,54031974.0,34.869799084734815,5.615691317418567,Extreme,383685,7.238915665450344,2.3108025508722174,852635,45.0,6.516691741753926,0.18518480906031914,1.9549578848367752
2023-12-04,17726621.09349175,44096256.0,40.19983259688023,5.283587571755806,Extreme,392319,7.401811785589256,2.3628021579046288,871820,45.0,-4.157305656747422,0.1688302478136212,2.557042355616013
2023-02-24,16810714.8,37357144.0,45.0,5.010593012687656,Extreme,259462,4.8952227384158284,1.5626502246749476,576583,45.0,4.015959070083955,5.361181101815723,1.5945652734257465
2024-08-28,16195853.991345631,52019960.0,31.1339224239035,4.827327916094674,Extreme,248467,4.687782057279932,1.4964311281586906,570042,43.587491393464894,-4.828486927340541,1.4718510640303661,1.3586480093505462
2023-08-11,15592345.550059333,50706584.0,30.7501399622174,4.647446500284376,Extreme,433520,8.179143618556976,2.61094158451366,1007011,43.050195947104356,-5.609758224221476,1.6468820312907098,1.1488835806163131
2024-07-12,15539816.335445035,45356138.0,34.2617714397223,4.63178966957612,Extreme,216264,4.080213866773404,1.3024835551606897,480588,45.0,4.362416107382545,1.2365881565825898,1.701107734354955
2024-07-18,15415066.697843922,49068184.0,31.4156046570705,4.594606856713251,Extreme,217526,4.104023793066582,1.3100841463206274,494583,43.981846519898696,-4.416108611446112,4.198549733248692,1.6074667787743087
2024-02-09,15175525.774718758,69898250.0,21.710880851407236,4.523209412289074,Extreme,253257,4.778154123004438,1.525279647696014,833213,30.395233191970128,4.230769230769229,0.8794636528008628,0.3969686494960851
2023-12-08,14709333.661068453,42790651.0,34.375110724696505,4.384256430514241,Extreme,364191,6.871125884817041,2.193396905807378,809315,45.0,-0.3749956403459773,3.092771316380996,1.8699068029740595
2025-06-10,14693361.70472009,34541089.0,42.53879113284497,4.379495837414532,Extreme,152631,2.8796615372854073,0.9192439218165355,339182,45.0,1.5104545747880376,1.3184805828852715,3.4667121360095643
2024-01-10,14506873.826542718,59317188.0,24.456442248312104,4.3239113562985665,Extreme,336719,6.352816617680583,2.02794251567599,983437,34.239019147636945,-0.019248916441028843,1.3850987125538627,0.9217175814563747
2025-01-08,13424427.397877313,33626381.0,39.92230801725976,4.001277930141126,Extreme,149938,2.828853192192277,0.9030249107280153,333196,45.0,2.114507078214456,1.1583011583011582,2.9618156983392425
2022-08-17,13314577.960243717,30869267.0,43.132148101358275,3.968536263221968,Extreme,257044,4.849602768703542,1.5480874438312633,571210,45.0,5.125001271565758,0.9251470237053692,3.444248867195619
2025-01-03,13217448.796070412,29628714.0,44.61026825555241,3.9395859944722442,Extreme,126801,2.392331587877475,0.7636787319106768,281781,45.0,1.217743658250378,0.024198418166882434,3.5549096639868223
2023-12-01,13162879.891178569,34690283.0,37.94399685692552,3.9233212147282512,Extreme,288711,5.4470583439223175,1.7388068735156932,641580,45.0,4.508913783026786,0.7704376603394112,2.387676583121397
2024-01-18,13081804.502854422,55813937.0,23.438239991660904,3.899155926156589,Extreme,304494,5.744833357143587,1.833862444258402,927954,32.81353598832526,0.9558636511634159,2.5431008392494186e-07,0.8028737508704157
2024-10-18,12255452.830514342,41149717.0,29.78259323269305,3.6528539714384016,Extreme,144050,2.717765358583531,0.8675635155222198,345480,41.69563052577027,5.968005371093757,0.6043243323430617,1.6527815656087628
2024-06-26,12124544.350477478,43164207.0,28.089348080638842,3.613835457164739,Extreme,167086,3.1523814141220954,1.0063014061405458,424886,39.325087312894375,3.809210771422919,0.7866559766416403,2.260626732451492
2023-11-29,11773413.525414135,32090406.0,36.6882660363167,3.509177583925367,Extreme,271807,5.1281336259667745,1.6369999060294897,604017,45.0,-2.651073314525462,0.2736472996467704,2.954108477983096
2023-07-10,11231490.730952421,39408934.0,28.499859272906043,3.3476523543529737,Extreme,217503,4.103589856216548,1.3099456252456048,545123,39.89980298206846,-2.9617115710343858,0.727620357754716,1.2684229586241795
2024-12-03,10818971.580502179,35419356.0,30.545365027252835,3.2246971084019904,Extreme,142561,2.6896726642487105,0.8585957815783629,333371,42.763511038153965,5.392823597465947,0.45208154280382223,1.540376312669659
2023-11-10,10761127.912084825,26360902.0,40.822305367566045,3.207456254324791,Extreme,231626,4.370045948957091,1.3950035879649405,514726,45.0,-5.6650236051564145,0.39946372958674664,3.1721942149685116
2022-10-18,10494727.547853822,34222972.0,30.665739807325387,3.128053098690189,Extreme,264640,4.992915130132215,1.5938355345213484,616417,42.93203573025554,-2.956989247311836,5.80204815767602,1.7458889818438141
2025-03-10,10314841.49969851,29620844.0,34.822915578295174,3.0744363556373,Extreme,94036,1.7741602447744598,0.5663464265577748,208971,45.0,2.6647573990919637,0.7021214955931937,3.0229768582629912
2024-01-30,10306413.959605541,60085292.0,17.152973076348772,3.0719244473688914,Extreme,132497,2.499796992129414,0.797983777272805,551748,24.01416230688828,4.910988520406971,0.7109667757622259,0.12780137028998254
2023-06-20,10259135.135098983,34115277.0,30.071967860905787,3.0578325452374813,Extreme,191714,3.617033446410851,1.1546273642126126,455370,42.1007550052681,-6.576817761855636,0.1349551412675081,1.5776786233857494
2023-05-12,10253201.34278339,27560297.0,37.20279699011731,3.056063922149827,Extreme,157270,2.9671847132553415,0.947183020383058,349489,45.0,0.6758583512438907,3.722020640788265,2.309762964594435
2025-06-12,10238403.534000635,29831396.0,34.320899813071556,3.0516532948700186,Extreme,128184,2.418424399338225,0.7720080643783425,284855,45.0,0.2907189022679919,1.207084728698046,2.4077085270078054
2024-06-10,10144805.092537643,36227048.0,28.003399814794857,3.0237553915165623,Extreme,144546,2.7271233010886156,0.8705507526183602,368697,39.204759740712795,4.719747555483689,0.48000256844714084,1.7691848148052718
2025-05-09,10064387.999696294,30390201.0,33.11721432739551,2.999786314158143,Very High,102536,1.934528211091433,0.6175389977617933,227858,45.0,5.512531254449032,1.2684451382309523,2.3800595978696157
2024-06-03,9781614.456443796,30185715.0,32.404779732544995,2.915502977200104,Very High,136680,2.578716898376932,0.8231765449606179,303735,45.0,-2.3124980926513725,7.454666628802609,1.6584553184409963
2022-02-28,9707651.658748025,27664374.0,35.09080544800336,2.8934576637353095,Very High,189221,3.569998465231061,1.1396128842112458,420492,45.0,1.0802455534725455,1.9667195183355726,2.7236905005361707
2023-07-14,9556433.316544099,34984044.0,27.316548414311676,2.848385602383272,Very High,180167,3.399178280874134,1.0850837618958125,471110,38.243167780036345,7.892109536766171,0.6536019615432104,1.1044134921303386
2022-09-01,9512252.193437556,28737633.0,33.10033290994271,2.8352169995389516,Very High,215660,4.068818307755115,1.2988458712774864,479246,45.0,-0.5081300813008134,4.298773125274661,2.0798472573570037
2023-04-28,9392965.130534815,25665162.0,36.598113546038846,2.799662358882951,Very High,153665,2.899169828717378,0.9254713475371185,341478,45.0,4.598614362470615,1.0475443951339478,2.3107256591822103
2023-12-07,9344402.278879337,34243388.0,27.288194377493657,2.785187740279516,Very High,227246,4.287409279254933,1.3686243571562815,594833,38.203472128491114,3.664124466990698,1.5307229839661138,1.5007222585396853
2024-05-21,9275779.654596375,30397454.0,30.51498870463419,2.7647341161573284,Very High,121451,2.2913941031956155,0.731457525329324,284291,42.72098418648787,4.717991698655646,4.446090879911651,2.000595501331196
2022-08-19,9005123.101220807,26465937.0,34.02533264256167,2.6840623629739513,Very High,206561,3.897149116517687,1.2440457294674436,459025,45.0,2.9469924281278126,0.039578460616268976,2.2216168651649273
2024-09-10,8994087.942583192,37384945.0,24.058047811982046,2.680773229262425,Very High,109888,2.073237068545832,0.6618175605255515,326261,33.68126693677486,3.734130117933702,0.6539816259636368,0.827896705624135
2024-06-04,8577111.619595489,31735462.0,27.026900127042385,2.5564894807558844,Very High,137492,2.5940367558650945,0.8280669411744606,363374,37.837660177859334,-12.231347166875885,1.2156027375749687,1.647768722740192
2024-04-02,8266189.588734916,37622953.0,21.971134452776518,2.4638162200495257,Very High,104366,1.969054490898499,0.6285604572092467,339297,30.759588233887122,4.1426187460207995,0.1019687675533585,1.103118838199093
2025-03-20,8206530.859198742,28096891.0,29.20796773991379,2.4460343697881806,Very High,77573,1.4635557942478323,0.4671954501187446,189707,40.891154835879306,0.1650467659663228,2.7021627876494336,2.1007300659809443
2022-03-14,7847798.380235912,27764946.0,28.265131076559314,2.3391107514947294,Very High,169919,3.2058311139545643,1.0233635889900734,429403,39.57118350718304,5.839125629619772,1.0105232120140797,2.0784054079515344
2024-06-06,7802185.19312048,30871486.0,25.273111871325142,2.325515308387991,Very High,101835,1.9213025705751745,0.6133171163013208,287813,35.382356619855194,1.6887437428859768,3.212572644027273,1.462044602695686
2024-10-03,7790620.310044748,33386637.0,23.334546423602795,2.3220682852827146,Very High,94498,1.7828767154142764,0.5691288933690991,289265,32.66836499304391,-1.907514093983996,1.2204666026849889,1.1153425619613582
2023-12-14,7745824.178059909,35557081.0,21.78419589071417,2.30871637320824,Very High,196129,3.7003304547978435,1.1812173879615233,643094,30.497874246999835,-3.1538658043399477,0.8434510215490114,0.8256012839769524
