Date,First_30min_Volume_Estimated,Total_Day_Volume,Estimated_Percentage,Volume_vs_Average,Volume_Category,First_30min_Trades_Estimated,Trades_vs_30min_Average,Trades_vs_Daily_Average,Total_Day_Trades_Estimated,Trade_Percentage_First_30min,Daily_Return,Opening_Gap_Percent,Volume_ZScore
2024-07-12,6079123.8,13509164.0,45.0,14.115347404738024,Extreme,528165,17.2570245131651,4.679746391182654,1173700,45.0,5.124376766645731,1.4348723496763074,3.8931801225062035
2024-05-31,4930560.0,10956800.0,45.0,11.448453689971755,Extreme,396668,12.960550963407599,3.5146320591058497,881485,45.0,-1.8462579900568197,0.1043844594600131,4.071566724350698
2023-12-15,3839053.5,8531230.0,45.0,8.914043477429335,Extreme,286362,9.356462570672015,2.537278191610287,636360,45.0,5.299044138204626,0.014997296720528453,3.7951945122194752
2024-03-19,3800767.2716149855,8931209.0,42.55602205272528,8.825145236128241,Extreme,309036,10.097302599472684,2.7381786103689616,686748,45.0,-1.8253613371644557,2.4382874813266766,3.7449857120170433
2025-01-10,3552435.0,7894300.0,45.0,8.24853314514676,Extreme,294218,9.613145964261944,2.6068853932407072,653819,45.0,1.5630929129464268,3.989990530185341,3.6145142570486346
2023-03-17,3032984.7,6739966.0,45.0,7.042401853003082,Extreme,184455,6.026799308125053,1.6343427159800374,409902,45.0,0.9141421624543766,1.083189906022104,3.597180001691219
2025-02-28,2816523.7451893706,7085018.0,39.75323344541073,6.539792977573808,Extreme,215845,7.052421981850598,1.9124702693378395,479657,45.0,-2.836858325975522,0.7640052880699967,3.16684707676518
2022-07-11,2699884.0558148804,6974600.0,38.710235078927546,6.268962872633083,Extreme,177921,5.813310345075588,1.5764489461922109,395382,45.0,-2.8803972468073233,1.8159834077314456,3.182395165943321
2024-01-12,2669875.0266814106,6813450.0,39.185361699013136,6.199283773237569,Extreme,215254,7.033111914944838,1.9072337805186468,478343,45.0,0.9043671732880729,3.0102715900374735,2.290577596940205
2025-04-07,2639108.178802929,6623955.0,39.84187964445605,6.127845065844656,Extreme,171214,5.594168858211069,1.51702232942347,380477,45.0,5.614517704133071,6.043518684272823,2.569452945113539
2023-07-14,2576422.2276120284,6306101.0,40.85602542065261,5.9822921855996425,Extreme,180672,5.903195275799352,1.6008238713049,401495,45.0,4.447248212295689,0.7319299115566104,3.093706813684977
2023-05-31,2570471.9305722746,5815424.0,44.200937551110194,5.968475965920499,Extreme,167051,5.45814887762109,1.4801365376226248,371225,45.0,-0.5893019038984638,0.2171085282901642,4.0667345531481915
2022-02-21,2419727.507876658,7465922.0,32.41029718602281,5.618456791171121,Extreme,213106,6.9629291337036,1.8882016688712253,473571,45.0,-2.3779553190616736,0.42437880565327213,2.735679765473276
2025-04-11,2207068.0187390205,7108961.0,31.046281147681363,5.12467468262254,Extreme,174346,5.6965024107471764,1.5447730620490396,401122,43.46479360675391,-1.7646805175925133,1.3229216472820624,2.145373399799272
2024-09-20,2048170.2523948345,5447908.0,37.59553671601713,4.755723950975147,Extreme,192186,6.279398508206996,1.7028423692138435,427080,45.0,-0.7412726892885962,0.48299380054460217,3.18260172395787
2024-10-11,1867402.469428692,5759183.0,32.42478090084465,4.335992400821261,Extreme,183890,6.008338753468954,1.6293365972273404,408646,45.0,0.1496547263456472,1.9964938853593235,2.415152726859573
2023-04-17,1789547.98304148,5505048.0,32.507400172377785,4.155219125177006,Extreme,131767,4.305295407734753,1.1675066366134916,292816,45.0,0.1722951461501853,1.7169426815049658,2.1402539027198304
2022-09-16,1759426.4186393155,5322221.0,33.058124017009355,4.085278725886118,Extreme,124687,4.073966687442403,1.1047750954292535,277084,45.0,-2.1879079593018482,0.9132433835036121,2.5966540841163526
2022-09-14,1737346.0978872585,5090269.0,34.13073253863909,4.03400959426828,Extreme,120979,3.9528131712214947,1.0719207797920844,268844,45.0,-0.46571284389952083,2.9216433493637837,3.198989143781128
2022-06-17,1673815.9489213726,5240434.0,31.940407014407064,3.886496539290154,Extreme,119366,3.900110738194438,1.0576289752821726,266940,44.71656982016989,-0.10026189056436766,1.5913547160493493,2.527410232846649
2022-02-14,1660924.5478522794,5951745.0,27.9065139358672,3.856563507720035,Extreme,135444,4.425436043965681,1.2000862802483,346679,39.06911951021408,0.26181525241676035,0.7862134295286655,2.072969248174921
2024-03-22,1648957.1156978589,5852485.0,28.175332627044046,3.8287758745084397,Extreme,146031,4.771350897318097,1.2938911992479512,370212,39.44546567786166,0.3566821232678936,1.911673060419839,1.611272034548834
2025-04-04,1627885.5927890402,5317367.0,30.614505126109222,3.77984910874577,Extreme,130189,4.253736548889933,1.1535249456546317,303752,42.86030717655291,-1.8795037612873113,1.1915368373641122,2.297738281318767
2022-05-19,1531506.6873867773,4642963.0,32.98554581173223,3.556063284176558,Extreme,120755,3.945494296455183,1.0699360530653517,268345,45.0,-3.9755681138688583,1.5019706179592105,3.602506682599307
2023-09-12,1498372.7726583136,4476016.0,33.47559018239241,3.479128394765154,Extreme,125518,4.101118405883497,1.1121380771699458,278929,45.0,2.542956724745841,0.3261043201497966,3.1946000463743656
2023-07-13,1440087.9803720324,4585146.0,31.407679938044122,3.3437947317899317,Extreme,114844,3.752360953849522,1.017562304486251,261183,43.97075191326177,1.7219868705275556,0.7392827221477138,2.8721192697439006
2023-02-28,1420478.5221086438,4116217.0,34.50932062397691,3.2982627892085943,Extreme,108644,3.5497849558533967,0.962627904014178,241433,45.0,-0.47017882961544477,0.10055043964902698,3.7063334825861793
2023-11-16,1388366.1464317252,3951984.0,35.130864558958876,3.2236998499456755,Extreme,109556,3.5795832316876655,0.9707085771158764,243459,45.0,1.976648966136472,0.7563978553889619,3.624683761410232
2025-04-08,1373259.2056899865,5557558.0,24.709759316771617,3.1886224730394126,Extreme,104697,3.420822461645218,0.9276559558426823,302650,34.59366304348026,-0.275589331526923,0.8552100443781192,1.6244231233641986
2025-02-19,1361576.9758878183,4366672.0,31.181114035764956,3.1614970619530998,Extreme,129642,4.235864118098984,1.1486783138710472,296980,43.65355965007094,-2.2751886428014285,0.025820075543700777,3.280271996211453
2024-07-11,1299740.9646676292,4872189.0,26.676735337394117,3.0179176894625694,Extreme,118504,3.871946139763364,1.04999132153912,317302,37.34742947235176,-0.18570462549288216,0.5589483940121283,2.268065421473717
2025-03-03,1288939.448822638,4990439.0,25.828177617693314,2.9928372414134885,Very High,101461,3.315090860110466,0.8989837429511295,280596,36.159448664770636,0.23099135805236115,0.05023791765664654,1.5532199860993574
2022-05-31,1277034.188514865,4840965.0,26.379744297156968,2.9651939673633607,Very High,94865,3.0995761370810397,0.8405406291585821,256869,36.93164201601975,0.3041067218067034,0.6251442296046695,2.4223118239572656
2023-10-09,1216785.2561350595,4233074.0,28.744719703342284,2.8252996932402503,Very High,99472,3.2501031730113863,0.8813604328642015,247181,40.24260758467919,-0.1838095796250848,0.653060599299109,2.3410446168531744
